Local time,Open,High,Low,Close,Volume
01.08.2024 00:46:47.000 GMT+0100,1.28525,1.28525,1.28525,1.28525,0.9
01.08.2024 00:46:48.000 GMT+0100,1.28525,1.28525,1.28525,1.28525,0.9
01.08.2024 00:46:50.000 GMT+0100,1.28525,1.28525,1.28525,1.28525,1.8
01.08.2024 00:46:55.000 GMT+0100,1.28522,1.28522,1.28522,1.28522,0.9
01.08.2024 00:46:59.000 GMT+0100,1.28521,1.28521,1.28521,1.28521,2.25
01.08.2024 00:47:03.000 GMT+0100,1.28521,1.28521,1.28521,1.28521,3.15
01.08.2024 00:47:04.000 GMT+0100,1.28521,1.28523,1.28520,1.28520,3.6
01.08.2024 00:47:07.000 GMT+0100,1.28520,1.28520,1.28520,1.28520,1.8
01.08.2024 00:47:08.000 GMT+0100,1.28520,1.28520,1.28520,1.28520,7.2
01.08.2024 00:47:10.000 GMT+0100,1.28519,1.28519,1.28519,1.28519,7.2
01.08.2024 00:47:12.000 GMT+0100,1.28521,1.28521,1.28521,1.28521,0.9
01.08.2024 00:47:13.000 GMT+0100,1.28520,1.28520,1.28520,1.28520,6.75
01.08.2024 00:47:15.000 GMT+0100,1.28521,1.28521,1.28520,1.28520,10.350000000000001
01.08.2024 00:47:16.000 GMT+0100,1.28521,1.28521,1.28521,1.28521,0.9
01.08.2024 00:47:17.000 GMT+0100,1.28519,1.28520,1.28519,1.28520,8.1
01.08.2024 00:47:18.000 GMT+0100,1.28522,1.28522,1.28522,1.28522,0.9
01.08.2024 00:47:21.000 GMT+0100,1.28519,1.28522,1.28519,1.28522,3.6
01.08.2024 00:47:22.000 GMT+0100,1.28520,1.28520,1.28520,1.28520,4.59
01.08.2024 00:47:23.000 GMT+0100,1.28521,1.28521,1.28521,1.28521,0.9
01.08.2024 00:47:29.000 GMT+0100,1.28520,1.28520,1.28520,1.28520,0.9
01.08.2024 00:47:31.000 GMT+0100,1.28520,1.28520,1.28520,1.28520,2.7000000000000006
01.08.2024 00:47:33.000 GMT+0100,1.28521,1.28523,1.28521,1.28523,2.7900000000000005
01.08.2024 00:47:34.000 GMT+0100,1.28521,1.28521,1.28521,1.28521,0.9900000000000001
01.08.2024 00:47:35.000 GMT+0100,1.28518,1.28518,1.28517,1.28517,6.39
01.08.2024 00:47:49.000 GMT+0100,1.28516,1.28516,1.28516,1.28516,1.89
